iter	Passed	Remaining
756	6761	2170
757	6769	2161
758	6776	2151
759	6785	2142
760	6793	2133
761	6802	2124
762	6810	2115
763	6819	2106
764	6827	2097
765	6836	2088
766	6844	2079
767	6853	2070
768	6862	2061
769	6870	2052
770	6878	2043
771	6887	2034
772	6895	2024
773	6902	2015
774	6910	2006
775	6919	1997
776	6928	1988
777	6937	1979
778	6945	1970
779	6953	1961
780	6961	1952
781	6969	1942
782	6977	1933
783	6985	1924
784	6993	1915
785	7001	1906
786	7010	1897
787	7019	1888
788	7027	1879
789	7035	1870
790	7045	1861
791	7055	1852
792	7067	1844
793	7077	1836
794	7086	1827
795	7095	1818
796	7104	1809
797	7112	1800
798	7120	1791
799	7129	1782
800	7136	1773
801	7145	1763
802	7152	1754
803	7160	1745
804	7168	1736
805	7175	1727
806	7183	1717
807	7191	1708
808	7199	1699
809	7206	1690
810	7214	1681
811	7223	1672
812	7231	1663
813	7238	1654
814	7246	1644
815	7253	1635
816	7261	1626
817	7269	1617
818	7277	1608
819	7285	1599
820	7293	1590
821	7301	1581
822	7308	1571
823	7316	1562
824	7324	1553
825	7331	1544
826	7339	1535
827	7346	1526
828	7353	1516
829	7361	1507
830	7368	1498
831	7376	1489
832	7383	1480
833	7391	1471
834	7400	1462
835	7408	1453
836	7416	1444
837	7424	1435
838	7434	1426
839	7442	1417
840	7451	1408
841	7459	1399
842	7467	1390
843	7476	1381
844	7484	1372
845	7493	1364
846	7503	1355
847	7512	1346
848	7519	1337
849	7527	1328
850	7534	1319
851	7542	1310
852	7550	1301
853	7558	1292
854	7566	1283
855	7573	1274
856	7581	1264
857	7588	1255
858	7595	1246
859	7602	1237
860	7610	1228
861	7617	1219
862	7625	1210
863	7631	1201
864	7639	1192
865	7646	1183
866	7653	1174
867	7661	1165
868	7669	1156
869	7676	1147
870	7684	1138
871	7692	1129
872	7700	1120
873	7708	1111
874	7716	1102
875	7723	1093
876	7730	1084
877	7738	1075
878	7745	1066
879	7752	1057
880	7760	1048
881	7767	1039
882	7775	1030
883	7783	1021
884	7791	1012
885	7799	1003
886	7810	995
887	7819	986
888	7827	977
889	7836	968
890	7845	959
891	7852	950
892	7860	941
893	7868	932
894	7876	924
895	7884	915
896	7892	906
897	7900	897
898	7916	889
899	7947	883
900	7961	874
901	7973	866
902	7983	857
903	7991	848
904	7999	839
905	8007	830
906	8015	821
907	8024	813
908	8032	804
909	8039	795
910	8047	786
911	8054	777
912	8063	768
913	8072	759
914	8080	750
915	8088	741
916	8096	732
917	8105	724
918	8114	715
919	8122	706
920	8130	697
921	8138	688
922	8145	679
923	8153	670
924	8160	661
925	8168	652
926	8176	643
927	8185	635
928	8193	626
929	8201	617
930	8209	608
931	8217	599
932	8224	590
933	8231	581
934	8238	572
935	8247	563
936	8255	555
937	8263	546
938	8270	537
939	8277	528
940	8284	519
941	8291	510
942	8298	501
943	8307	492
944	8315	483
945	8322	475
946	8330	466
947	8337	457
948	8344	448
949	8352	439
950	8359	430
951	8367	421
952	8375	413
953	8384	404
954	8392	395
955	8401	386
956	8408	377
957	8416	369
958	8425	360
959	8433	351
960	8441	342
961	8448	333
962	8455	324
963	8462	316
964	8469	307
965	8476	298
966	8484	289
967	8491	280
968	8499	271
969	8508	263
970	8515	254
971	8523	245
972	8530	236
973	8538	227
974	8545	219
975	8553	210
976	8561	201
977	8569	192
978	8577	183
979	8584	175
980	8591	166
981	8599	157
982	8607	148
983	8614	140
984	8621	131
985	8629	122
986	8636	113
987	8644	104
988	8651	96
989	8658	87
990	8666	78
991	8674	69
992	8681	61
993	8688	52
994	8696	43
995	8703	34
996	8711	26
997	8718	17
998	8725	8
999	8733	0
